연번,이름,내용
104,두부와 미역 ,"콩 속에는 5종의 사포닌이 함유되어 여러 가지 생리작용을 하는데, 지나치게 섭취하 면 몸 속의 요오드가 빠져 나가는 결점을 갖고 있다. 요오드는 갑상선호르몬을 구성 하는 중요한 성분으로 부족하면 바세도씨병과 같은 질병에 걸릴 수도 있다. 그래서 두뷰 요리를 할 때는 요오드가 풍부한 미역이나 김과 같은 식품을 곁들이는 것이 무엇보다 중요하다. 미역은 칼슘 함량이 뛰어나서 분유와 맞먹을 정도이고, 다량의 요오드를 함유하고 있다. 게다가 열량이 극히 적어 비만 때문에 고민하는 사람에게 매우 효과적이고 산성체질 을 중화시키는 데 가장 효과적인 식품이다. 임산부의 경우 요오드가 부족하면 신진대사가 완만해져 비만의 원인이 될 수 있는데, 미역은 열량은 낮으면서 포만감을 주므로 다이어트 식품으로 매우 좋다.  "
105,로얄젤리와 매실,"로얄젤리가 꿀과 다른 것은 단백질이 훨씬 많고 수분이 많으며 지방산을 함유하고 있다는 점이다. 로얄젤리의 특수성분은 워낙 미묘하고 불안정해서 온도가 높아지거나 햇볕을 받아도 또 수소이온농도, 즉 산도가 바뀌어도 활성을 상실하고 효력을 잃고 만다. 그런데 매실은 과일 중에서 신맛이 가장 강한 것이다.그래서 매실은 위장에서 강한 산성반응을 나타내어 유해세균의 발육을 억제해서 식중독을 예방하거나 치료하는 것이다. 그밖에도 설사,변비,피로회복에 뛰어난 효능을 나타낸다. 그런데 서로 다른 특성을 가지고 있는 로얄젤리와 매실을 함께 먹거나 섞어 먹으면 로얄젤리의 활성물질이 산도의 갑작스런 변화를 받게 된다. 그렇게 되면로얄젤리의 효과는 없어지고 말며 매실의 특성도 약화되는 것이다. "
106,조개와 옥수수,"조개류는 부패균의 번식이 잘 되는 수산물이며, 산란기에는 자신을 적으로부터 보호 하기 위해 독성물질을 생성하기도 한다. 이런한 조개를 먹고 소화성이 떨어지는 옥수수를 먹으면 배탈이 나기 쉽다. "
107,문어와 고사리,고단백식품의 하나인 문어는 영양가는 높지만 소화에 부담이 가는 식품이다. 고사리에는 섬유질이 3% 이상 들어 있어서 문어와 고사리를 먹으면 위장이 약한 사람은 소화불량에 걸리기가 쉽다. 
108,냉면과 식초,"녹말이 주성분인 당분을 섭취하면 대사과정에서 유산이 쌓여 피로감을 느끼게 하므로 식초를 함께 섭취하면 유산을 분해 시켜준다. 또한 냉면에는 식중독의 위험이 있으므로 식초를 타서 먹으면 풍미와 위생, 영양의 세가지를 조정해 주는 일석삼조 효과가 있다.[출처 :  우리들의 한방넷, http://www.urihanbang.org]  "
109,조개와 쑥갓,"술 마신 후 속을 시원하게 해 주는 해장 음식 중 뜨거운 조개탕을 따라올 음식이 없다.조개는 아미노산등 우수한 단백질과 철분이 풍부하나 적혈구를 만들 때 필요한 엽록소나 비타민 A,C는 거의 없다.그러나 쑥갓은 엽록소가 풍부하고 비타민 A,C가 많아 적혈구 생성에 도움을 주고, 핏 속의 콜레스테롤치를 낮추는 작용을 한다. 여기에 레몬껍질을 곱게 채 썰어 곁들이면 비타민 C의 섭취를 늘릴 뿐 아니라, 조개 특유의 달콤한 맛이 어울려 풍미를 더한다.조개의 독특한 맛은 불편한 속을 편하게 해 주고 술을 깨게 하는 효과가 있다.쑥갓은 향이 독특하고 맛이 산뜻해서 날로 먹어도 좋고 나물로 해 먹어도 좋은데, 조개에 없는 비타민A와 C, 엽록소가 풍부해 조개와 좋은 궁합이다.[출처 : 우리들의 한방넷, http://www.urihanbang.org]   "
110,게와 감,"게는 고단백 식품이지만 식중독 균의 번식이 잘되는 약점을 갖고 있다. 감은 수렴작용을 하는 탄닌성분이 있어 함께 먹으면 소화 흡수를 방해한다. 식중독 균 오염 가능성이 많은 음식과 소화가 원활하지 않은 성분의 만남, 피해야할 음식 조합이다.  [출처 : 우리들의 한방넷, http://www.urihanbang.org]"
111,치즈와 콩류,"단백질이 풍부한 영양식으로 꼽히는 치즈는 칼슘 성분도 많다. 콩은 고단백 고지방 식품이며 인산의 함량이 많은 식품이다. 그런데 치즈와 콩류를 함께 먹으면 인산 칼슘이 만들어져 흡수되지 않고 몸밖으로 빠져 나가게 된다. [출처 : 우리들의 한방넷, http://www.urihanbang.org]  "
112,새우와 표고버섯,"새우는 단백질을 비롯한 영양소가 풍부하고 독특한 풍미와 단맛을 내기 때문에 고급요리에 많이 이용되는데, 새우에 들어 있는 콜레스테롤을 걱정해서 먹기를 꺼리는 사람들이 많다.하지만 새우의 콜레스테롤치는 쇠고기와 비슷할 정도로, 타우린의 함량이 적절해 오히려 체내에서 콜레스테롤치를 떨어뜨리는 기능도 한다. 특히 암 환자의 체내에는 일반인에 비해 과산화지질이 많은 편인데, 과산화지질은 노화를 진행하는 물질로 새우 속에 들어 있는 타우린이 그 생성을 억제할 수 있다고 한다. 거기에다 뛰어난 항암 효과로 인기를 모으고 있는 표고버섯, 체내의 칼슘 흡수를 돕고 콜레스테롤치를 떨어뜨려 주기 때문에 새우와 표고버섯을 함께 먹을 경우 성인병을 예방할 수 있다.또 표고버섯은 칼로리가 거의 없는 식품이므로 해조류와 마찬가지로 많이 먹어도 뚱뚱해지지도 않는다.※참고 : 표고버섯을 씻을 때는 빨리 씻어야 영양의 손실이 적고, 오랫동안 물에 담가 두면 풍미를 잃게 된다. [출처 : 우리들의 한방넷, http://www.urihanbang.org]  "
113,스테이크와 파인애플,"오래전부터 고기를 부드럽게 하기 위해서는 보통 배와 무를 사용했다. 배와 무에는 단백질과 지방을 분해하는 효소가 들어 있어 고기를 재두기만 하면 쉽게 연해지는 효과를 볼 수 있기 때문이다.하지만 서양에서는 무화과나 파파야, 파인애플을 연육제로 사용한다. 파인애플에 들어 있는 브로멜린이라는 성분은 배나 무와는 비교도 안 될 만큼 강력한 연육 효과를 발휘한다. 특히 스테이크 요리를 할 때 고기를 직접 재두지 않아도 파인애플과 함께 먹거나 후식으로 먹기만 해도 소화에 큰 도움이 된다.파인애플은 상하기 쉬워 날 것보다는 통조림이 흔한데, 그래서 그다지 영양가가 별 것 없는것처럼 쉽게생각되기 마련이지만, 파인애플 속에는 자당과 비타민C, 칼슘 등의 영양소가 풍부하고, 새콤달콤한 맛이 입안을 개운하게 해준다.특히 기름기 많은 고기 요리를 먹을 때 함께 먹으면 느끼한 느낌을 줄일 수 있다. 육류는 성장과 활동에 필요한 필수 아미노산이 골고루 들어 있어 떨어진 기력을 보하고 피로 회복을 돕는다.고기는 좋아해도 씹기 어렵고 소화가 안돼 걱정이면 파인애플과 함께 먹으면 소화를 도울 수 있다.[출처 : http://www.urihanbang.org]"
114,라면과 녹색채소,"전국민의 부식, 제2의 주식으로 일컬어지는 라면은 일본에서 개량되어 한국에서 꽃피우고 전세계에 퍼져 나간 대표적 식품이다.아무리 먹어도 물리지 않는 라면의 결정적인 단점은 소금과 지방 함량이 많은 것. 이문제는 동물실험에서도 증명됐다. 최고 혈압 190mmHg인 고혈압 쥐를 두 그룹으로 나누어 한 그룹에는 인스턴트 라면만을, 다른 그룹에는 인스턴트 라면과 채소를 먹인 후 2주일간 혈압 측정을 한 것이다. 라면만 먹은 쥐는 226mmHg로 혈압이 상승했는데 채소도 먹은 그룹은 182mmHg로 조금 떨어진 것이다. 소금을 많이 가지고 있는 짭짤한 라면이 혈압 상승과 관계가 있다는 것을 알 수 있다.채소엔 나트륨 작용을 상쇄시키는 칼륨 성분이 많아 라면에 야채를 곁들이게 되면 라면에 없는 성분 보완 뿐 아니라 소금 섭취로 인한 혈압 상승도 억제시키는 효과도 거두는 셈이다.단무지나 김치 대신 생야채, 특히 녹황색 채소와 함께 먹으면 라면의 단점을 크게 해소할 수 있다.[출처 : www.urihanbang.org]"
115,도토리묵과 감,도토리묵을 먹은 후 후식으로 감을 먹게 되면 두가지 모두 떫은 맛의 탄닌을 많이 함유하고 있어 변비가 심해질 뿐 아니라 적혈구를 만드는 철분이 탄닌과 결합하여 소화흡수를 방해하므로 빈혈이 생길 수도 있다[출처 : www.urihanbang.org]
